,time,nodes,edges
319,44.674,400,133.0
320,44.242,400,133.0
321,65.355,400,133.0
322,71.114,400,133.0
323,84.944,400,133.0
324,74.812,400,133.0
325,74.156,400,133.0
326,70.461,400,133.0
327,67.627,400,133.0
328,75.592,400,133.0
329,41.14,400,133.0
330,35.565,400,133.0
331,76.592,400,133.0
332,44.0,400,133.0
333,36.857,400,133.0
334,42.709,400,133.0
335,63.774,400,133.0
336,49.002,400,133.0
337,51.578,400,133.0
338,68.384,400,133.0
339,65.896,400,133.0
340,47.295,400,133.0
341,46.004,400,133.0
342,50.895,400,133.0
343,79.505,400,133.0
344,24.364,400,133.0
345,26.163,400,133.0
346,115.232,400,133.0
347,58.499,400,133.0
348,58.345,400,133.0
349,31.643,400,133.0
350,121.667,400,133.0
351,50.074,400,133.0
352,24.417,400,133.0
353,21.659,400,133.0
354,59.202,400,133.0
355,70.107,400,133.0
356,40.231,400,133.0
357,93.755,400,133.0
358,65.163,400,133.0
359,54.437,400,133.0
360,47.308,400,133.0
361,57.348,400,133.0
362,43.752,400,133.0
363,34.609,400,133.0
364,33.518,400,133.0
365,106.603,400,133.0
366,84.677,400,133.0
367,112.341,400,133.0
368,39.774,400,133.0
369,88.496,400,133.0
370,40.251,400,133.0
371,28.117,400,133.0
372,21.168,400,133.0
373,31.746,400,133.0
374,92.313,400,133.0
375,25.358,400,133.0
376,137.386,400,133.0
377,70.15,400,133.0
378,34.655,400,133.0
379,63.574,400,133.0
380,31.836,400,133.0
381,86.443,400,133.0
382,67.882,400,133.0
383,38.66,400,133.0
384,54.437,400,133.0
385,45.366,400,133.0
386,36.514,400,133.0
387,72.443,400,133.0
388,62.726,400,133.0
389,71.329,400,133.0
390,41.692,400,133.0
391,82.032,400,133.0
392,54.685,400,133.0
393,35.536,400,133.0
394,48.872,400,133.0
395,60.038,400,133.0
396,95.285,400,133.0
397,23.114,400,133.0
398,85.815,400,133.0
399,81.492,400,133.0
400,53.088,500,166.0
401,17.386,500,166.0
402,65.367,500,166.0
403,43.158,500,166.0
404,87.498,500,166.0
405,40.978,500,166.0
406,98.771,500,166.0
407,19.873,500,166.0
408,136.687,500,166.0
409,38.816,500,166.0
410,20.866,500,166.0
411,43.005,500,166.0
412,119.127,500,166.0
413,109.593,500,166.0
414,62.69,500,166.0
415,106.249,500,166.0
416,41.083,500,166.0
417,102.657,500,166.0
418,102.202,500,166.0
419,41.92,500,166.0
420,97.523,500,166.0
421,38.288,500,166.0
422,88.793,500,166.0
423,27.892,500,166.0
424,49.669,500,166.0
425,24.054,500,166.0
426,90.114,500,166.0
427,50.795,500,166.0
428,30.751,500,166.0
429,77.498,500,166.0
430,53.966,500,166.0
431,119.657,500,166.0
432,37.56,500,166.0
433,36.345,500,166.0
434,86.488,500,166.0
435,52.299,500,166.0
436,53.595,500,166.0
437,77.876,500,166.0
438,103.463,500,166.0
439,92.706,500,166.0
440,79.818,500,166.0
441,78.809,500,166.0
442,87.573,500,166.0
443,87.16,500,166.0
444,92.451,500,166.0
445,46.543,500,166.0
446,54.668,500,166.0
447,41.241,500,166.0
448,19.72,500,166.0
449,53.189,500,166.0
450,55.434,500,166.0
451,68.863,500,166.0
452,27.676,500,166.0
453,70.789,500,166.0
454,82.104,500,166.0
455,49.972,500,166.0
456,54.125,500,166.0
457,71.737,500,166.0
458,49.896,500,166.0
